beta,phi,theta,gamma,delta,gammaT,deltaT,eta,b,kappa,R0
0.4169543477741535,1.9079258305398978,0.12723602992234131,0.6664825971522368,0.7216514876727015,1.5553437346452847,0.6323089961763472,1.3916530777526397,1.2361178252306766,0.0023379743824247273,1.278740471333697
0.5508151056815405,2.243319338207831,0.35996517571744824,0.6888629133122351,0.6905800696990142,1.4871092707896605,0.5915585491210222,1.4178670370886102,1.1328341220743021,0.0026807626487454403,1.6602268927978963
0.36041103948373343,2.2996496659021357,0.13081048614345492,0.6768787881915146,0.7129302672563741,1.5367792753153482,0.6283679247330874,1.4180637386928623,1.3412897203967906,0.002440686036584278,1.35404666230428
0.41103637923020864,1.6561348951049149,0.13051067700205993,0.7253563496425437,0.6976521983730296,1.5616928935516627,0.5853083913233131,1.4043058251201486,1.5381523502189665,0.0024732983544546493,0.9197293779894028
0.3718694959557615,2.4407318789318664,0.28707912438952676,0.702930220418144,0.7253678901270032,1.4739793522842228,0.6054272762015462,1.437398428174667,1.3661923258395865,0.0022559173764272905,1.4567107739766738
0.5488059121172408,2.0926491451711624,0.11283943551157913,0.7132448524961558,0.7209498582165688,1.5667102560866626,0.5313709223661572,1.3887869532418746,1.2406692882796748,0.002681898626405746,1.313827107054068
0.46314145492389797,2.2113341767679664,0.17917907840168723,0.7324831797722727,0.6923022731505334,1.521089760675095,0.5300456433761865,1.3721797096971422,1.3067538977664894,0.00232023956773337,1.2896498673521393
0.44580658734194,1.7666727357869965,0.461720571973982,0.68264599207292,0.7195254661782334,1.5243380226311274,0.6201869134027511,1.3737136592827737,1.0891423725144938,0.0026155877971167987,1.4788172535381432
0.4787433642381802,2.0948680186533597,0.4593981432759513,0.6710560083732319,0.7004264792967587,1.556197357180063,0.5668084300216287,1.433547017867056,1.286073875386454,0.002336732535630775,1.4214245491185884
0.47029227034188803,1.6649971079615642,0.2768025643552343,0.7168261790534791,0.7226804327480495,1.4486284343455917,0.535066348908469,1.419623063490726,1.0979343783038669,0.0024143348848680037,1.2542528324433062
0.4995458637818228,2.1798001017750934,0.4697795758098364,0.6915125414088057,0.6976252309462676,1.5052238014852628,0.6080602167956531,1.451005479504044,1.3521382922030054,0.00240226647767704,1.47158340587894
0.5160239114146679,2.052402414569282,0.3613853034557154,0.7305947114609492,0.7248197668964664,1.5126637922646478,0.5300706867463887,1.3352906328272074,1.266162499618437,0.002490101114388866,1.375360460961774
0.46400502210948613,1.8222610681712392,0.27566343174284946,0.7310640171943232,0.7113996402360498,1.4633816652558742,0.624492199730128,1.4185857203037788,1.6311930229134857,0.0026239660624492295,1.0710403206236165
0.3840073510224465,1.7486076534457968,0.416652594774651,0.7027448838168444,0.7085640751812606,1.5272149706305937,0.5787509995717556,1.4359564644222458,1.305333332552947,0.0022547001145081596,1.1952987715859518
0.43084783048601816,1.595126705470029,0.1342578246636937,0.6952952679703012,0.7255227365437895,1.5121094538783655,0.6085804497841746,1.432602702516752,1.398882637655083,0.0022746033439955985,0.9999996986701789
0.4987666611501481,2.3390985183827575,0.17350739948265254,0.6927244914479863,0.7105325238388032,1.5660303243109959,0.6183946938961744,1.3912664912215744,1.126622384838201,0.002380422666862918,1.6610698978776424
0.48243809769162904,2.414335860030958,0.34189520056173206,0.6742013986799865,0.6990109435711056,1.5007691980106757,0.5251267167571932,1.424989342802204,1.1906399686954914,0.0023836525275449582,1.562834480753621
0.5073715630569495,2.07564053664566,0.43451121834913886,0.6776398055733491,0.7039738013949245,1.5740783757693135,0.6091765058692544,1.4031147911055013,1.1248437526479362,0.00252923323266053,1.6112752720799919
0.5648416543961502,1.455293498393963,0.3277438632271563,0.690127291522144,0.7194106060750782,1.5616803209763022,0.6238893280699849,1.3393352944782624,1.2779751864862627,0.0024574168923388547,1.164517226602188
0.36282181161106564,2.0586707519169427,0.43247973900660874,0.71455872066676,0.7063346788765241,1.5005017683189363,0.5668910180814565,1.4609415034276123,1.633262520876713,0.0023407331856898964,1.1327439539481707
0.5082121685391757,1.9909415786268654,0.13688067427091302,0.7207165402077759,0.702814035827294,1.4863240040652455,0.5981822120714932,1.3959380554830034,1.620745239127334,0.0027102807685655235,1.0797191151444145
0.3972761299321428,2.14572690212843,0.3298133837937688,0.6684222197560593,0.7288330712473641,1.545643037480768,0.6254414876662195,1.4386656270480405,1.126932776700519,0.0024476911822566764,1.5877492883405735
0.5664327566709835,2.286775702562532,0.34181501635319245,0.6942574259786245,0.7029523824683079,1.5622318620514126,0.5764219100754708,1.3847050356545174,1.4414788188546894,0.0023032927318631363,1.3999268305932144
0.45665862217545505,1.8186106906125785,0.33917461780831215,0.7034569848142563,0.6996930141809086,1.4376989597687497,0.6089629955478013,1.3525578440657504,1.285277092509158,0.002691065197476807,1.2831145256425374
0.3615942546748556,1.585010801734286,0.3809858575807884,0.7121053097272912,0.7110624225505938,1.5183583769062534,0.547909820811823,1.4495139203658327,1.7289767212763427,0.002707880067119065,0.8872576449251901
0.39819772222544997,1.9581181503975529,0.46648863634715476,0.6694640408214181,0.6952004518223305,1.5468885532510468,0.5943628628533334,1.3568554807131488,1.6913146883538923,0.0025387732579139994,1.1252884570703285
0.5086274511856026,2.222645558969001,0.2996107483205075,0.7297834065969412,0.6978812147416174,1.5153456982714124,0.5758797087091952,1.4479032878143092,1.0892965068566611,0.002370763772268159,1.6237548405153117
0.5520461941196118,2.193050517062656,0.4280887983643139,0.7106305930976134,0.6992983416567246,1.501935590035282,0.63993741447106,1.3329336042292415,1.554405231814552,0.002546628334373236,1.3882565174585404
0.5586602580547333,2.223561249111662,0.35476086578114574,0.6739546368070878,0.7004859206831703,1.5175253032124603,0.5540424568075687,1.4674929268344616,1.1687642736928536,0.002524275522376411,1.563137886198039
0.5160158215439878,1.7477757360545219,0.3381639141353468,0.7222298769610934,0.7189490164810171,1.5095494087575936,0.5703568287305534,1.4593362541447084,1.2333922922722063,0.002742215651995503,1.264601566788202
0.3569214366504457,1.8087888982984002,0.3461216105977073,0.6816720724709642,0.7191381267787268,1.5567677007778549,0.5720427406933158,1.4013182971350227,1.5773022362728604,0.002668124795239419,1.0323002190860002
0.4619993115402758,1.6718252381874479,0.30510591037167856,0.6725804133891748,0.7200981907000144,1.434661701545119,0.6065425553079695,1.4699882137356326,1.4977651280346325,0.0024480275773986556,1.0785778635522951
0.41188922186847776,2.153387067342759,0.17140431231819092,0.7332567555441831,0.7256194919918975,1.456347238800954,0.6238047213386745,1.3825591063508762,1.4772781171454117,0.0025405859062525757,1.2325484671155127
